run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,label,count,focus_score_mean,focus_score_std,focus_score_median,risk_score_mean,risk_score_std,risk_score_median,mean_instruction_mass_mean,mean_instruction_mass_std,mean_instruction_mass_median,mean_data_mass_mean,mean_data_mass_std,mean_data_mass_median,mean_ratio_mean,mean_ratio_std,mean_ratio_median,mean_normalized_instruction_ratio_mean,mean_normalized_instruction_ratio_std,mean_normalized_instruction_ratio_median,mean_entropy_mean,mean_entropy_std,mean_entropy_median
qwen-phase2-qwen3-14b-seed0-phase2,qwen3-14b-attn,qwen3-14b,Qwen/Qwen3-14B,attn-hf,Qwen,Qwen3,base,14.0,40,40,8bit,bfloat16,0,56,0.6746818729496271,0.1294004100209629,0.6355705121679911,0.32531812705037283,0.12940041002096286,0.36442948783200885,0.02724021004645952,0.005962854654710914,0.026593642309308052,0.08928774184148226,0.03542915475602626,0.09027079865336418,0.27356159926525186,0.09542146653652593,0.2366202250123024,0.27356159926525186,0.09542146653652593,0.2366202250123024,0.4243313100721155,0.020567709737509796,0.4290330410003662
qwen-phase2-qwen3-14b-seed0-phase2,qwen3-14b-attn,qwen3-14b,Qwen/Qwen3-14B,attn-hf,Qwen,Qwen3,base,14.0,40,40,8bit,bfloat16,1,60,0.2483187610836621,0.1085538602132889,0.253725320252309,0.751681238916338,0.10855386021328892,0.746274679747691,0.014742605295032263,0.004553999040037559,0.014372305944561958,0.15459243077784776,0.03916657662248585,0.1571911945939064,0.12926712160309156,0.0571760804007417,0.12239627167582512,0.12926712160309156,0.0571760804007417,0.12239627167582512,0.4115963617960612,0.024564894124168287,0.4156610667705536
qwen-phase2-qwen3-32b-seed0-phase2,qwen3-32b-attn,qwen3-32b,Qwen/Qwen3-32B,attn-hf,Qwen,Qwen3,base,32.0,64,64,4bit,bfloat16,0,56,0.73984644873186,0.12630498256556785,0.6994842001650896,0.26015355126814,0.12630498256556785,0.3005157998349104,0.017824744722539827,0.0030243150148398794,0.01772991009056568,0.07342746374862534,0.029341813026563152,0.07639356330037117,0.2827635774655001,0.0938412166077972,0.2569604963064194,0.2827635774655001,0.0938412166077972,0.2569604963064194,0.2851629395570074,0.01314052656789354,0.2879616767168045
qwen-phase2-qwen3-32b-seed0-phase2,qwen3-32b-attn,qwen3-32b,Qwen/Qwen3-32B,attn-hf,Qwen,Qwen3,base,32.0,64,64,4bit,bfloat16,1,60,0.21946700898600927,0.12341513313582278,0.1906058436628276,0.7805329910139907,0.1234151331358228,0.8093941563371724,0.012254573404788971,0.003377668134717272,0.011956522706896067,0.13509248830378057,0.031492089744235174,0.1394602507352829,0.1418632979815205,0.058665900317772315,0.12822771072387695,0.1418632979815205,0.058665900317772315,0.12822771072387695,0.2861497414608796,0.016038859553583435,0.28803861141204834
gemma-phase2-gemma-2-9b-it-seed0-phase2,gemma-2-9b-it-attn,gemma-2-9b-it,google/gemma-2-9b-it,attn-hf-no-sys,Gemma,Gemma2,it,9.0,42,16,8bit,bfloat16,0,56,0.5299146573025999,0.18321933215866648,0.48197691584937274,0.47008534269740004,0.18321933215866648,0.5180230841506273,0.05097084113263658,0.011566692080405208,0.04790935479104519,0.12134924797075135,0.05357328199971616,0.12457505241036415,0.32467300577887465,0.13191686171093592,0.2877269834280014,0.32467300577887465,0.13191686171093592,0.2877269834280014,0.587827035358974,0.022426765609649162,0.5914959609508514
gemma-phase2-gemma-2-9b-it-seed0-phase2,gemma-2-9b-it-attn,gemma-2-9b-it,google/gemma-2-9b-it,attn-hf-no-sys,Gemma,Gemma2,it,9.0,42,16,8bit,bfloat16,1,60,0.15650119680231,0.08253770960435189,0.1453039685729891,0.84349880319769,0.08253770960435189,0.8546960314270109,0.0265026789624244,0.010540864775729493,0.02616892848163843,0.21314176407953103,0.041927491726327634,0.22190650552511215,0.13721055804441373,0.06556563104179344,0.13319577276706696,0.13721055804441373,0.06556563104179344,0.13319577276706696,0.561275806526343,0.03591053339805862,0.5665110945701599
gemma-phase2-gemma-2-27b-it-seed0-phase2,gemma-2-27b-it-attn,gemma-2-27b-it,google/gemma-2-27b-it,attn-hf-no-sys,Gemma,Gemma2,it,27.0,46,32,4bit,bfloat16,0,56,0.6241190356301738,0.18414242493231667,0.560815913778431,0.3758809643698262,0.18414242493231667,0.439184086221569,0.03807936003431678,0.010074724684908309,0.03464869596064091,0.08266080556703466,0.03593660618987998,0.08435994759202003,0.32980601995119024,0.1327905964600419,0.29258984327316284,0.32980601995119024,0.1327905964600419,0.29258984327316284,0.5149315223097801,0.02474082877508395,0.5196943283081055
gemma-phase2-gemma-2-27b-it-seed0-phase2,gemma-2-27b-it-attn,gemma-2-27b-it,google/gemma-2-27b-it,attn-hf-no-sys,Gemma,Gemma2,it,27.0,46,32,4bit,bfloat16,1,60,0.16725852194895233,0.10344999503820587,0.15466277439911622,0.8327414780510477,0.10344999503820587,0.8453372256008838,0.019810780603438615,0.009474161901071637,0.01946928258985281,0.15251690112054347,0.03307180398918204,0.15733656287193298,0.14011188242584466,0.06865232259485883,0.13336514681577682,0.14011188242584466,0.06865232259485883,0.13336514681577682,0.4750877017776171,0.03751047999601648,0.48289954662323
gemma-phase2-gemma-3-4b-it-seed0-phase2,gemma-3-4b-it-attn,gemma-3-4b-it,google/gemma-3-4b-it,attn-hf-no-sys,Gemma,Gemma3,it,4.0,34,8,8bit,bfloat16,0,56,0.4392133240261264,0.19007092301221254,0.355932674206355,0.5607866759738737,0.19007092301221254,0.644067325793645,0.031237696696605,0.011371447089570335,0.026448064483702183,0.0979692644905299,0.03890104319942564,0.10298117622733116,0.26880225552512066,0.1248342363483789,0.21715877950191498,0.26880225552512066,0.1248342363483789,0.21715877950191498,0.5735187429402556,0.0324289910197566,0.5767309069633484
gemma-phase2-gemma-3-4b-it-seed0-phase2,gemma-3-4b-it-attn,gemma-3-4b-it,google/gemma-3-4b-it,attn-hf-no-sys,Gemma,Gemma3,it,4.0,34,8,8bit,bfloat16,1,60,0.12012701484602396,0.06657974382756408,0.10688174908350714,0.879872985153976,0.06657974382756408,0.8931182509164928,0.019520756291846433,0.008415505418785638,0.018606746569275856,0.1808269400149584,0.04389101809193329,0.18451948463916779,0.11654217553635439,0.05687387795194389,0.1093343161046505,0.11654217553635439,0.05687387795194389,0.1093343161046505,0.546778388818105,0.04081428766493219,0.5472891330718994
gemma-phase2-gemma-3-12b-it-seed0-phase2,gemma-3-12b-it-attn,gemma-3-12b-it,google/gemma-3-12b-it,attn-hf-no-sys,Gemma,Gemma3,it,12.0,48,16,8bit,bfloat16,0,56,0.5540178260632923,0.17588785982300037,0.5114982828497887,0.44598217393670764,0.17588785982300034,0.48850171715021135,0.031053880728515133,0.007676915527723389,0.02906024642288685,0.08097980730235577,0.034915273581391425,0.08060818165540695,0.2826922464051417,0.11678328862235308,0.25106897950172424,0.2826922464051417,0.11678328862235308,0.25106897950172424,0.49907499498554636,0.02571060281156519,0.5021158456802368
gemma-phase2-gemma-3-12b-it-seed0-phase2,gemma-3-12b-it-attn,gemma-3-12b-it,google/gemma-3-12b-it,attn-hf-no-sys,Gemma,Gemma3,it,12.0,48,16,8bit,bfloat16,1,60,0.19079915665871036,0.0891057331576662,0.17795004304498435,0.8092008433412899,0.0891057331576662,0.8220499569550157,0.018283331006144484,0.006914114862206406,0.016926483251154423,0.1511544965207577,0.03564386568919762,0.15050051361322403,0.12259992808103562,0.054940573603412944,0.11721406131982803,0.12259992808103562,0.054940573603412944,0.11721406131982803,0.4737256531914075,0.03273175461216811,0.4753190726041794
gemma-phase2-gemma-3-27b-it-seed0-phase2,gemma-3-27b-it-attn,gemma-3-27b-it,google/gemma-3-27b-it,attn-hf-no-sys,Gemma,Gemma3,it,27.0,62,32,4bit,bfloat16,0,56,0.6985366426258687,0.1450152774548955,0.7117224034615034,0.3014633573741313,0.1450152774548955,0.2882775965384966,0.04290483599262578,0.005470602583808063,0.04324457421898842,0.0640044266557587,0.026966354564251657,0.06170513294637203,0.3348618426493236,0.1046404209416197,0.32059115171432495,0.3348618426493236,0.1046404209416197,0.32059115171432495,0.4444778066660677,0.0243394586757519,0.4500984400510788
gemma-phase2-gemma-3-27b-it-seed0-phase2,gemma-3-27b-it-attn,gemma-3-27b-it,google/gemma-3-27b-it,attn-hf-no-sys,Gemma,Gemma3,it,27.0,62,32,4bit,bfloat16,1,60,0.26805402272340456,0.1236295483229419,0.26736913101617676,0.7319459772765953,0.1236295483229419,0.7326308689838232,0.02703430512920022,0.007955893388343077,0.026726948097348213,0.12495521238694589,0.03462352844731924,0.12026049569249153,0.16197072118520736,0.06683916752884393,0.15363094955682755,0.16197072118520736,0.06683916752884393,0.15363094955682755,0.4175577958424886,0.028712372363204796,0.4191043972969055
