run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,metric,depth_bin,depth_start,depth_end,benign_mean,attack_mean,delta_attack_minus_benign,abs_delta
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,2,0.2,0.3,0.9099221229553223,0.8884308338165283,-0.021491289138793945,0.021491289138793945
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,3,0.3,0.4,0.8460062146186829,0.8034659624099731,-0.04254025220870972,0.04254025220870972
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,4,0.4,0.5,0.6588690876960754,0.614788830280304,-0.044080257415771484,0.044080257415771484
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,5,0.5,0.6,0.6644476652145386,0.5793319344520569,-0.08511573076248169,0.08511573076248169
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,6,0.6,0.7,0.6091468334197998,0.5441653728485107,-0.06498146057128906,0.06498146057128906
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,7,0.7,0.8,0.757140040397644,0.7053080797195435,-0.051831960678100586,0.051831960678100586
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,8,0.8,0.9,0.7724543213844299,0.7251222133636475,-0.04733210802078247,0.04733210802078247
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,9,0.9,1.0,0.5806369185447693,0.5209777355194092,-0.05965918302536011,0.05965918302536011
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,0,0.0,0.1,0.6807568073272705,0.6877185106277466,0.006961703300476074,0.006961703300476074
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,1,0.1,0.2,0.3071959614753723,0.30318892002105713,-0.0040070414543151855,0.0040070414543151855
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,2,0.2,0.3,0.2488715946674347,0.23111046850681305,-0.017761126160621643,0.017761126160621643
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,3,0.3,0.4,0.34891295433044434,0.33258646726608276,-0.016326487064361572,0.016326487064361572
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,4,0.4,0.5,0.5125418305397034,0.4940895736217499,-0.01845225691795349,0.01845225691795349
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,5,0.5,0.6,0.5407878160476685,0.5342457890510559,-0.006542026996612549,0.006542026996612549
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,6,0.6,0.7,0.5333387851715088,0.511486291885376,-0.021852493286132812,0.021852493286132812
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,7,0.7,0.8,0.4228860139846802,0.4119383990764618,-0.010947614908218384,0.010947614908218384
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,8,0.8,0.9,0.3899924159049988,0.3794214725494385,-0.010570943355560303,0.010570943355560303
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,entropy,9,0.9,1.0,0.5466890335083008,0.5334426164627075,-0.013246417045593262,0.013246417045593262
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,instruction_mass,0,0.0,0.1,0.27928587794303894,0.25462159514427185,-0.02466428279876709,0.02466428279876709
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,instruction_mass,1,0.1,0.2,0.7895112633705139,0.7654094696044922,-0.02410179376602173,0.02410179376602173
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,instruction_mass,2,0.2,0.3,0.7879078984260559,0.7652045488357544,-0.022703349590301514,0.022703349590301514
